Alarm Triggered: Id=-1168036542,Tag=joe,Tag value= 704.159994006232 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:08:44 AM
Alarm Triggered: Id=-1331491271,Tag=aaa,Tag value= 30.9016994374948 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:08:54 AM
Alarm Triggered: Id=-1284899027,Tag=joe,Tag value= 791.750595947611 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:09:00 AM
Alarm Triggered: Id=-1230722986,Tag=aaa,Tag value= 20.7911690817759 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:09:04 AM
Alarm Triggered: Id=-1234347974,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:09:05 AM
Alarm Triggered: Id=-915171844,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:09:10 AM
Alarm Triggered: Id=-861016275,Tag=aaa,Tag value= 66.9130606358858 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:09:14 AM
Alarm Triggered: Id=-814289651,Tag=joe,Tag value= 523.072266216889 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:09:20 AM
Alarm Triggered: Id=-1028305609,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:09:24 AM
Alarm Triggered: Id=-1028211883,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:09:24 AM
Alarm Triggered: Id=-982211744,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:09:30 AM
Alarm Triggered: Id=-658527566,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:09:34 AM
Alarm Triggered: Id=-658564886,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:09:34 AM
Alarm Triggered: Id=-561979088,Tag=aaa,Tag value= 74.3144825477394 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:09:44 AM
Alarm Triggered: Id=-565992075,Tag=joe,Tag value= 691.232311907798 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:09:45 AM
Alarm Triggered: Id=-784163555,Tag=joe,Tag value= 657.88790455921 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:09:50 AM
Alarm Triggered: Id=-729254121,Tag=aaa,Tag value= 30.9016994374948 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:09:54 AM
Alarm Triggered: Id=-683627368,Tag=joe,Tag value= 631.564655402473 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:10:00 AM
Alarm Triggered: Id=-359533124,Tag=aaa,Tag value= 20.7911690817759 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:10:04 AM
Alarm Triggered: Id=-364494858,Tag=joe,Tag value= 598.220248053884 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:10:05 AM
Alarm Triggered: Id=-313855818,Tag=joe,Tag value= 712.134099152002 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:10:10 AM
Alarm Triggered: Id=-527097981,Tag=aaa,Tag value= 66.9130606358858 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:10:14 AM
Alarm Triggered: Id=-425970065,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:10:24 AM
Alarm Triggered: Id=-425882469,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:10:24 AM
Alarm Triggered: Id=-430803742,Tag=joe,Tag value= 652.466442646676 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:10:25 AM
Alarm Triggered: Id=-52044330,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:10:34 AM
Alarm Triggered: Id=-52080611,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:10:34 AM
Alarm Triggered: Id=-10795565,Tag=joe,Tag value= 592.79878614135 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:10:40 AM
Alarm Triggered: Id=-219405964,Tag=aaa,Tag value= 74.3144825477394 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:10:44 AM
Alarm Triggered: Id=-229043723,Tag=joe,Tag value= 706.712637239468 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:10:45 AM
Alarm Triggered: Id=150214027,Tag=aaa,Tag value= 30.9016994374948 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:10:54 AM
